ID,Title,Category,MITRE_ID,MITRE_Name,Severity,Confidence,Splunk,QRadar,Data_Source_Windows,Data_Source_Cloud,Rule_IDs,Pack
UC-160,Credential Theft then DC Access,Correlation,T1003+T1021,Cred Theft + DC Logon,Critical,92,Yes,Yes,Sysmon 10 / Windows Security 4624,,SP-correlation-005,correlation
UC-161,Supply Chain Attack Indicator,Correlation,T1195.002,Supply Chain Compromise,Critical,78,Yes,Yes,Windows Installer / Sysmon 3,,SP-correlation-006,correlation
UC-162,Insider Threat Pattern (Anomalous Data Access),Correlation,T1005,Data from Local System,High,70,Yes,Yes,Windows Security 4663,,SP-correlation-007,correlation
UC-163,Zero-Day Proxy Exploitation Chain,Correlation,T1190,Exploit Public-Facing Application,Critical,82,Yes,Yes,,WAF / Web server logs,SP-correlation-008,correlation
UC-164,Double Extortion - Data Staging Before Encryption,Ransomware,T1560.001+T1048,Archive + Exfil over Web,Critical,88,Yes,Yes,Sysmon 1 11 3,,SP-ransomware-001,backup-resilience
UC-165,LockBit 3.0 Specific Indicators,Ransomware,T1486+T1490+T1070,LockBit Multi-TTP,Critical,92,Yes,Yes,Windows Security 4688 / Sysmon 1 11,,SP-ransomware-002,backup-resilience
UC-166,Ransomware Deployed via RDP,Ransomware,T1021.001+T1486,RDP + Encryption,Critical,90,Yes,Yes,Windows Security 4624 / Sysmon 1 11,,SP-ransomware-003,backup-resilience
UC-167,Network Share Encryption (File Server),Ransomware,T1486,Data Encrypted for Impact,Critical,94,Yes,Yes,Windows Security 4663 4660,,SP-ransomware-004,backup-resilience
UC-168,Account Lockout Storm,Identity/IAM,T1531,Account Access Removal,High,85,Yes,Yes,Windows Security 4740 (DC),,SP-identity-001,identity
UC-169,Service Account Interactive Login,Identity/IAM,T1078.002,Valid Accounts: Domain Accounts,High,85,Yes,Yes,Windows Security 4624,,SP-identity-002,identity
UC-170,Admin Login from Non-PAW Workstation,Identity/IAM,T1078,Valid Accounts,High,82,Yes,Yes,Windows Security 4624,,SP-identity-003,identity
UC-171,Stale Account Reactivated,Identity/IAM,T1078,Valid Accounts,High,82,Yes,Yes,Windows Security 4722 4624,,SP-identity-004,identity
UC-172,Domain Admins Group Changed,Identity/IAM,T1098,Account Manipulation,Critical,95,Yes,Yes,Windows Security 4728 4729 (DC),,SP-identity-005,identity
UC-173,Password Never Expires Accounts (Newly Set),Identity/IAM,T1098,Account Manipulation,Medium,78,Yes,Yes,Windows Security 4738 (DC),,SP-identity-006,identity
UC-174,Entra ID Privileged Role Assigned,Identity/IAM,T1098.003,Account Manipulation: Additional Cloud Roles,Critical,90,Yes,Yes,,Entra ID Audit,SP-identity-007,identity
UC-175,Guest Account Added to Privileged Azure Resource,Identity/IAM,T1098.003,Account Manipulation: Additional Cloud Roles,High,88,Yes,Yes,,Azure Activity Log,SP-identity-008,identity
UC-176,COM Object Hijacking,Persistence,T1546.015,Event Triggered Execution: COM Hijacking,High,80,Yes,Yes,Sysmon 13,,SP-persist-001,windows_sysmon
UC-177,Image File Execution Options (IFEO) Debugger,Persistence,T1546.012,Event Triggered Execution: IFEO Injection,Critical,92,Yes,Yes,Sysmon 13 / Windows Security 4657,,SP-persist-002,windows_sysmon
UC-178,AppCert / AppInit DLL Persistence,Persistence,T1546.009,Event Triggered Execution: AppCert DLLs,High,88,Yes,Yes,Sysmon 13 7,,SP-persist-003,windows_sysmon
UC-179,Office Add-in Persistence,Persistence,T1137.006,Office Application Startup: Add-ins,High,78,Yes,Yes,Sysmon 11 13,,SP-persist-004,windows_sysmon
UC-180,Screensaver Executable Modified,Persistence,T1546.002,Event Triggered Execution: Screensaver,Medium,85,Yes,Yes,Sysmon 13,,SP-persist-005,windows_sysmon
UC-181,Startup Folder Drop (New Executable),Persistence,T1547.001,Registry Run Keys / Startup Folder,High,82,Yes,Yes,Sysmon 11,,SP-persist-006,windows_sysmon
UC-182,ISO / IMG Mount for Malware Delivery,Initial Access,T1553.005,Subvert Trust Controls: Mark-of-the-Web Bypass,High,82,Yes,Yes,Sysmon 1 11 / Windows Security 4688,,SP-initial-001,initial_access
UC-183,OneNote Embedded Payload Execution,Initial Access,T1566.001,Phishing: Spearphishing Attachment,High,85,Yes,Yes,Sysmon 1 / Windows Security 4688,,SP-initial-002,initial_access
UC-184,HTML Smuggling (JavaScript Dropper),Initial Access,T1027.006,Obfuscated Files or Information: HTML Smuggling,High,78,Yes,Yes,Sysmon 1 11,,SP-initial-003,initial_access
UC-185,Malicious LNK File Execution,Initial Access,T1204.002,User Execution: Malicious File,High,80,Yes,Yes,Sysmon 1 11,,SP-initial-004,initial_access
UC-186,Teams / Slack Phishing File Delivery,Initial Access,T1566.003,Phishing: Spearphishing via Service,High,78,Yes,Yes,Sysmon 11,M365 Audit,SP-initial-005,initial_access
UC-187,Zip Password-Protected Archive with Executable,Initial Access,T1566.001,Phishing: Spearphishing Attachment,High,82,Yes,Yes,Sysmon 11,,SP-initial-006,initial_access
UC-188,Honey Credential Used (Windows Authentication),Deception,T1003,OS Credential Dumping,Critical,99,Yes,Yes,Windows Security 4776 4768 4624,,SP-deception-003,deception
UC-189,Canary AWS Access Key Used,Deception,T1552.001,Unsecured Credentials: Credentials in Files,Critical,99,Yes,Yes,,AWS CloudTrail,SP-deception-004,deception
UC-190,Honey User Account Logon,Deception,T1078,Valid Accounts,Critical,99,Yes,Yes,Windows Security 4624 4625,,SP-deception-005,deception
UC-191,Canary DNS Query Detected,Deception,T1567,Exfiltration Over Web Service,Critical,99,Yes,Yes,,DNS logs,SP-deception-006,deception
UC-192,Honeypot Port Scan Detected,Deception,T1046,Network Service Discovery,High,95,Yes,Yes,,Firewall / IDS,SP-deception-007,deception
UC-193,Honeyfile Accessed on File Server,Deception,T1083,File and Directory Discovery,Critical,98,Yes,Yes,Windows Security 4663,,SP-deception-008,deception
UC-194,Honey Share Accessed (Network Lateral Detection),Deception,T1135,Network Share Discovery,Critical,97,Yes,Yes,Windows Security 5140 5142 5145,,SP-deception-009,deception
UC-195,Honey Token Service Accessed (HTTP),Deception,T1078,Valid Accounts,High,95,Yes,Yes,,Web server / API Gateway logs,SP-deception-010,deception
UC-196,Decoy SSH Key Used on Bastion,Deception,T1098.004,Account Manipulation: SSH Authorized Keys,Critical,99,Yes,Yes,Linux auth log,,SP-deception-011,deception
UC-197,Fake MFA Bypass Attempt on Honey Identity,Deception,T1621,Multi-Factor Authentication Request Generation,High,92,Yes,Yes,,Okta / Entra ID,SP-deception-012,deception
UC-198,Canary API Key Used in Production API,Deception,T1552,Unsecured Credentials,Critical,98,Yes,Yes,,API Gateway / Web logs,SP-deception-013,deception
UC-199,LDAP Honey Object Queried,Deception,T1069.002,Permission Groups Discovery,High,90,Yes,Yes,Windows Security 4661 4662 (DC),,SP-deception-014,deception
UC-200,Global Deception Alert Aggregation,Deception/Correlation,Multiple,Attack Chain via Deception,Critical,99,Yes,Yes,Multiple deception data sources,Multiple,SP-deception-015,deception
